"시도명(1)","시점","시군구(1)",관용,관용,관용,관용,자가용,자가용,자가용,자가용
"시도명(1)","시점","시군구(1)",경형,소형,중형,대형,경형,소형,중형,대형
"부산","2020.01","부산진구",13,23,96,0,545,5953,9778,831
"부산","2020.01","북구",13,4,53,0,356,2424,5387,472
"부산","2020.01","사상구",25,28,101,1,535,2971,6195,406
"부산","2020.01","사하구",3,7,77,0,470,2937,7616,603
"부산","2020.01","서구",0,6,2,0,193,1699,3995,221
"부산","2020.01","수영구",1,0,101,0,295,1899,3965,411
"부산","2020.01","연제구",5,6,148,36,265,1687,4199,413
"부산","2020.01","영도구",3,4,42,0,200,1581,4232,288
"부산","2020.01","해운대구",8,0,92,1,559,3307,7765,920
"부산","2020.01","부산기타",0,0,0,0,0,10,4,0
"부산","2020.02","금정구",8,15,73,3,366,2292,5180,401
"부산","2020.02","기장군",6,7,52,0,262,1589,3022,343
"부산","2020.02","남구",3,10,23,0,478,2773,6754,642
"부산","2020.02","동구",3,31,38,1,239,963,2869,216
"부산","2020.02","동래구",5,5,74,0,420,2395,5188,516
"부산","2020.02","부산진구",13,23,94,0,543,5952,9791,845
"부산","2020.02","북구",13,4,53,0,346,2416,5381,481
"부산","2020.02","사상구",25,28,102,1,527,2980,6166,400
"부산","2020.02","사하구",3,7,77,0,468,2934,7629,616
"부산","2020.02","서구",0,6,2,0,195,1691,3988,221
"부산","2020.02","수영구",1,0,101,0,294,1897,3974,423
"부산","2020.02","연제구",5,6,148,36,266,1685,4209,416
"부산","2020.02","영도구",3,4,42,0,201,1584,4249,281
"부산","2020.02","해운대구",8,0,92,1,555,3303,7769,921
"부산","2020.02","부산기타",0,0,0,0,0,10,4,0
"부산","2020.03","금정구",8,15,73,3,370,2292,5175,390
"부산","2020.03","기장군",6,7,52,0,275,1592,3065,345
"부산","2020.03","남구",3,10,23,0,491,2765,6811,662
"부산","2020.03","동구",3,31,38,1,239,970,2874,216
"부산","2020.03","동래구",5,5,73,0,418,2394,5215,522
"부산","2020.03","부산진구",13,23,91,0,541,5960,9859,869
"부산","2020.03","북구",13,4,53,0,355,2412,5379,487
"부산","2020.03","사상구",25,28,101,1,529,2984,6190,404
"부산","2020.03","사하구",3,7,77,0,491,2928,7658,640
"부산","2020.03","서구",0,6,2,0,203,1684,3973,225
"부산","2020.03","수영구",1,0,101,0,305,1892,3979,440
"부산","2020.03","연제구",5,6,148,36,268,1673,4239,426
"부산","2020.03","영도구",3,4,42,0,204,1580,4255,289
"부산","2020.03","해운대구",7,0,92,1,562,3299,7795,947
"부산","2020.03","부산기타",0,0,0,0,0,10,4,0
"부산","2020.04","금정구",8,8,73,3,389,2283,5198,395
"부산","2020.04","기장군",8,7,52,0,288,1590,3083,347
"부산","2020.04","남구",3,10,23,0,507,2755,6819,674
"부산","2020.04","동구",3,29,37,1,257,973,2882,231
"부산","2020.04","동래구",5,1,73,0,438,2385,5235,535
"부산","2020.04","부산진구",13,23,90,0,580,5938,9899,881
"부산","2020.04","북구",13,4,53,0,373,2401,5380,488
"부산","2020.04","사상구",28,20,101,1,561,2986,6210,415
"부산","2020.04","사하구",3,2,77,0,537,2917,7704,663
"부산","2020.04","서구",1,6,2,0,208,1684,3987,225
"부산","2020.04","수영구",5,0,101,0,319,1883,3980,450
"부산","2020.04","연제구",5,5,147,36,276,1680,4263,441
"부산","2020.04","영도구",3,4,42,0,218,1574,4254,288
"부산","2020.04","해운대구",7,0,92,1,578,3295,7830,976
"부산","2020.04","부산기타",0,0,0,0,0,10,4,0
"부산","2020.05","금정구",13,8,71,3,389,2271,5224,417
"부산","2020.05","기장군",13,7,52,0,305,1595,3094,370
"부산","2020.05","남구",3,10,23,0,517,2750,6852,682
"부산","2020.05","동구",8,29,37,1,261,976,2899,235
"부산","2020.05","동래구",5,1,73,0,444,2392,5270,554
"부산","2020.05","부산진구",20,23,90,0,598,5929,9909,899
"부산","2020.05","북구",22,4,53,0,406,2402,5392,497
"부산","2020.05","사상구",31,20,101,1,582,2990,6225,414
"부산","2020.05","사하구",9,2,77,0,547,2914,7757,672
"부산","2020.05","서구",1,6,2,0,219,1685,4002,231
"부산","2020.05","수영구",5,0,101,0,335,1881,4008,457
"부산","2020.05","연제구",5,5,147,36,288,1688,4252,439
"부산","2020.05","영도구",5,4,42,0,225,1575,4261,293
"부산","2020.05","해운대구",13,0,92,1,592,3295,7870,981
"부산","2020.05","부산기타",0,0,0,0,0,10,4,0
"부산","2020.06","금정구",12,8,71,3,379,2273,5250,410
"부산","2020.06","기장군",13,7,52,0,297,1597,3125,391
"부산","2020.06","남구",3,10,23,0,519,2733,6887,695
"부산","2020.06","동구",8,29,37,1,261,976,2896,237
"부산","2020.06","동래구",5,1,73,0,445,2394,5277,556
"부산","2020.06","부산진구",20,23,90,0,612,5928,9969,915
"부산","2020.06","북구",22,4,50,0,420,2409,5397,506
"부산","2020.06","사상구",29,20,101,0,580,2978,6260,428
"부산","2020.06","사하구",9,2,77,0,543,2899,7786,676
"부산","2020.06","서구",1,6,2,0,231,1681,4007,244
"부산","2020.06","수영구",5,0,101,0,334,1882,4029,468
"부산","2020.06","연제구",5,5,147,36,285,1683,4242,459
"부산","2020.06","영도구",6,4,42,0,224,1571,4281,291
"부산","2020.06","해운대구",13,0,92,1,600,3286,7900,1001
"부산","2020.06","부산기타",0,0,0,0,0,10,4,0
"부산","2020.07","금정구",12,8,71,3,388,2270,5268,409
"부산","2020.07","기장군",13,7,52,0,294,1596,3141,393
"부산","2020.07","남구",3,10,23,0,531,2720,6901,706
"부산","2020.07","동구",8,29,37,1,260,976,2903,238
"부산","2020.07","동래구",5,1,73,0,456,2381,5290,550
"부산","2020.07","부산진구",17,23,86,0,601,5936,10013,914
"부산","2020.07","북구",22,4,48,0,428,2411,5432,517
"부산","2020.07","사상구",28,20,101,0,582,2976,6261,432
"부산","2020.07","사하구",10,2,76,0,546,2897,7797,693
"부산","2020.07","서구",1,6,2,0,230,1673,4009,255
"부산","2020.07","수영구",5,0,98,0,336,1873,4041,493
"부산","2020.07","연제구",4,5,100,36,288,1679,4270,465
"부산","2020.07","영도구",6,4,42,0,222,1571,4281,290
"부산","2020.07","해운대구",13,0,89,1,600,3285,7948,1013
"부산","2020.07","부산기타",0,0,0,0,0,10,4,0
