"시도별(1)","설립주체별(1)","시점",학생수 (명)
"인천","사립","2013",4982
"인천","사립","2014",4751
"인천","사립","2015",4448
"인천","사립","2016",4255
"인천","사립","2017",4178
"인천","사립","2018",4070
"인천","사립","2019",3897
"인천","사립","2020",3956
"인천","사립","2021",3954
"인천","사립","2022",3905
"광주","계","2012",66937
"광주","계","2013",65124
"광주","계","2014",61682
"광주","계","2015",56563
"광주","계","2016",51511
"광주","계","2017",47900
"광주","계","2018",45437
"광주","계","2019",43068
"광주","계","2020",43415
"광주","계","2021",43942
"광주","계","2022",43586
"광주","국립","2012",524
"광주","국립","2013",513
"광주","국립","2014",492
"광주","국립","2015",417
"광주","국립","2016",339
"광주","국립","2017",273
"광주","국립","2018",231
"광주","국립","2019",211
"광주","국립","2020",211
"광주","국립","2021",220
"광주","국립","2022",228
"광주","공립","2012",46539
"광주","공립","2013",45480
"광주","공립","2014",43220
"광주","공립","2015",40011
"광주","공립","2016",36390
"광주","공립","2017",34014
"광주","공립","2018",32409
"광주","공립","2019",30864
"광주","공립","2020",31243
"광주","공립","2021",31755
"광주","공립","2022",31498
"광주","사립","2012",19874
"광주","사립","2013",19131
"광주","사립","2014",17970
"광주","사립","2015",16135
"광주","사립","2016",14782
"광주","사립","2017",13613
"광주","사립","2018",12797
"광주","사립","2019",11993
"광주","사립","2020",11961
"광주","사립","2021",11967
"광주","사립","2022",11860
"대전","계","2012",61598
"대전","계","2013",59997
"대전","계","2014",56765
"대전","계","2015",52215
"대전","계","2016",47646
"대전","계","2017",44961
"대전","계","2018",42675
"대전","계","2019",40732
"대전","계","2020",40694
"대전","계","2021",41158
"대전","계","2022",40303
"대전","국립","2012",-
"대전","국립","2013",-
"대전","국립","2014",-
"대전","국립","2015",-
"대전","국립","2016",-
"대전","국립","2017",-
"대전","국립","2018",0
"대전","국립","2019",0
"대전","국립","2020",-
"대전","국립","2021",-
"대전","국립","2022",-
"대전","공립","2012",54784
"대전","공립","2013",53375
"대전","공립","2014",50537
"대전","공립","2015",46412
"대전","공립","2016",42391
"대전","공립","2017",40008
"대전","공립","2018",37966
"대전","공립","2019",36220
"대전","공립","2020",36144
"대전","공립","2021",36645
"대전","공립","2022",35968
"대전","사립","2012",6814
"대전","사립","2013",6622
"대전","사립","2014",6228
"대전","사립","2015",5803
"대전","사립","2016",5255
"대전","사립","2017",4953
"대전","사립","2018",4709
"대전","사립","2019",4512
"대전","사립","2020",4550
"대전","사립","2021",4513
"대전","사립","2022",4335
"울산","계","2012",47785
"울산","계","2013",45860
"울산","계","2014",43150
"울산","계","2015",39040
"울산","계","2016",35343
"울산","계","2017",32931
"울산","계","2018",31906
"울산","계","2019",30935
"울산","계","2020",31797
"울산","계","2021",32766
"울산","계","2022",32966
"울산","국립","2012",-
"울산","국립","2013",-
"울산","국립","2014",-
"울산","국립","2015",-
"울산","국립","2016",-
"울산","국립","2017",-
"울산","국립","2018",0
"울산","국립","2019",0
"울산","국립","2020",-
"울산","국립","2021",-
"울산","국립","2022",-
"울산","공립","2012",44884
"울산","공립","2013",43198
"울산","공립","2014",40796
"울산","공립","2015",36974
"울산","공립","2016",33444
"울산","공립","2017",31143
"울산","공립","2018",30562
"울산","공립","2019",29713
"울산","공립","2020",30557
"울산","공립","2021",31480
"울산","공립","2022",31657
"울산","사립","2012",2901
"울산","사립","2013",2662
"울산","사립","2014",2354
"울산","사립","2015",2066
"울산","사립","2016",1899
"울산","사립","2017",1788
"울산","사립","2018",1344
"울산","사립","2019",1222
"울산","사립","2020",1240
"울산","사립","2021",1286
"울산","사립","2022",1309
"세종","계","2013",3797
"세종","계","2014",4156
"세종","계","2015",5901
"세종","계","2016",7444
"세종","계","2017",8602
"세종","계","2018",10070
"세종","계","2019",11202
"세종","계","2020",12395
"세종","계","2021",13822
"세종","계","2022",14809
"세종","국립","2013",-
"세종","국립","2014",-
"세종","국립","2015",-
"세종","국립","2016",-
"세종","국립","2017",-
"세종","국립","2018",0
"세종","국립","2019",0
"세종","국립","2020",-
"세종","국립","2021",-
"세종","국립","2022",-
"세종","공립","2013",3797
"세종","공립","2014",4156
"세종","공립","2015",5901
"세종","공립","2016",7444
"세종","공립","2017",8602
"세종","공립","2018",10070
"세종","공립","2019",11202
"세종","공립","2020",12395
"세종","공립","2021",13822
"세종","공립","2022",14809
"세종","사립","2013",-
"세종","사립","2014",-
"세종","사립","2015",-
"세종","사립","2016",-
"세종","사립","2017",-
"세종","사립","2018",0
"세종","사립","2019",0
"세종","사립","2020",-
"세종","사립","2021",-
"세종","사립","2022",-
"경기","계","2012",463600
"경기","계","2013",458220
"경기","계","2014",439888
"경기","계","2015",409810
"경기","계","2016",381082
"경기","계","2017",366856
"경기","계","2018",358438
"경기","계","2019",353032
"경기","계","2020",362917
"경기","계","2021",378472
"경기","계","2022",380345
"경기","국립","2012",-
"경기","국립","2013",-
